Probabilities,H_X,H_Y,H_XY,P,E,Error Detection Rate,Correction Capability,Adaptation Rate,Spatial Scale,Temporal Scale,Intelligence
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,0.5,7.41701936746969e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,1.0,3.708509683734845e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,0.5,1.5,2.4723397891565633e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,0.5,3.708509683734845e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,1.0,1.8542548418674225e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.0,1.5,1.2361698945782816e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,0.5,2.4723397891565633e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,1.0,1.2361698945782816e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.3,1.5,1.5,8.241132630521877e-07
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,0.5,1.3185812372571594e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,1.0,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,0.5,1.5,4.3952707908571976e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.0,0.5,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.5,0.5333333333333333,1.0,1.0,3.2964530931428984e-06
